;임무 번호,"타입(0=일일, 1=스페셜, 2=명예, 3=주간 / 10=PC방일일, 11=PC방스페, 12=PC명예, 13=PC방 주간)","NPC 식별자(1=이블린, 2=펠릭스, 3=더글라스 제이콥, 4=빅토르, 5=짐, 6=첸, 7=로웬 )",임무 제목,임무 제목 인수,NPC 내레이션,NPC 내레이션 인수,선행 임무,임무 시작 시각,임무 종료 시각,"Arguments(XML형식, 서버에서 사용)","Variables(XML형식, 서버에서 사용)",조건0 설명,조건0 인수,조건0 목표치,조건1 설명,조건1 인수,조건1 목표치,조건2 설명,조건2 인수,조건2 목표치,조건3 설명,조건3 인수,조건3 목표치,조건4 설명,조건4 인수,조건4 목표치,조건5 설명,조건5 인수,조건5 목표치,조건6 설명,조건6 인수,조건6 목표치,조건7 설명,조건7 인수,조건7 목표치,조건8 설명,조건8 인수,조건8 목표치,조건9 설명,조건9 인수,조건9 목표치,조건10 설명,조건10 인수,조건10 목표치,조건11 설명,조건11 인수,조건11 목표치,"보상0 리소스 네임(0=4001, 1=4002, 2=4003, 3=4004, 4=4005~4010, 5=4011, 6=4012, 7=4013, 8=4014, 9=4015, 10=4016, 11=4017, 12=4018)",보상0 연결 reward ID,보상1 리소스 네임,보상1 연결 Reward ID,보상2 리소스 네임,보상2 연결 Reward ID,보상3 리소스 네임,보상3 연결 Reward ID,Title ID,"HonorQuestType(1=시나리오, 2=펀, 3=좀비, 4=킬러X, 5=클랜, 6=작업병, 7=기록병)",조건지급식 여부(1=조건지급)
2001,2,4,#CSO_Quest_Honor001_Name,,#CSO_Quest_Honor001_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor001_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,1,7,
2002,2,4,#CSO_Quest_Honor002_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4008,,,,,,,2,7,
2003,2,4,#CSO_Quest_Honor003_Name,,#CSO_Quest_Honor003_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor003_Cond1,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,3,4,
2004,2,4,#CSO_Quest_Honor004_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,1
2005,2,4,#CSO_Quest_Honor005_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1
2006,2,4,#CSO_Quest_Honor006_Name,,#CSO_Quest_Honor006_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor006_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,6,6,
2007,2,4,#CSO_Quest_Honor007_Name,,#CSO_Quest_Honor007_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,<vars><auxrecordex init='0'/><win init='0'/></vars>,#CSO_Quest_Honor007_Cond1,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,7,3,
2008,2,4,#CSO_Quest_Honor008_Name,,#CSO_Quest_Honor008_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,<vars><auxrecordex init='0'/><kill init='0'/></vars>,#CSO_Quest_Honor008_Cond1,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,8,3,
2009,2,4,#CSO_Quest_Honor009_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,1
2010,2,4,#CSO_Quest_Honor010_Name,,#CSO_Quest_Honor010_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor010_Cond1,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,10,4,
2011,2,4,#CSO_Quest_Honor011_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4009,,,,,,,11,7,
2012,2,4,#CSO_Quest_Honor012_Name,,#CSO_Quest_Honor012_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,<vars><playtime init='0'/></vars>,#CSO_Quest_Honor012_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4005,,,,,,,12,7,
2013,2,4,#CSO_Quest_Honor013_Name,,#CSO_Quest_Honor013_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor013_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4005,,,,,,,13,2,
2014,2,4,#CSO_Quest_Honor014_Name,,#CSO_Quest_Honor014_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor014_Cond1,,50,#CSO_Quest_Honor014_Cond2,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4005,,,,,,,14,2,
2015,2,4,#CSO_Quest_Honor015_Name,,#CSO_Quest_Honor015_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor015_Cond1,,100,#CSO_Quest_Honor015_Cond2,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4005,,,,,,,15,2,
2016,2,4,#CSO_Quest_Honor016_Name,,#CSO_Quest_Honor016_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor016_Cond1,,200,#CSO_Quest_Honor016_Cond2,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4005,,,,,,,16,2,
2017,2,4,#CSO_Quest_Honor017_Name,,#CSO_Quest_Honor017_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor017_Cond1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4005,,,,,,,17,2,
2018,2,4,#CSO_Quest_Honor018_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,5000,,,100,,,1000,,,100,,,,,,,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,18,2,
2019,2,4,#CSO_Quest_Honor019_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,500,,,1000,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,19,2,
2020,2,4,#CSO_Quest_Honor020_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4009,,,,,,,20,2,
2021,2,4,#CSO_Quest_Honor021_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,21,1,
2022,2,4,#CSO_Quest_Honor022_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,22,6,
2023,2,4,#CSO_Quest_Honor023_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4008,,,,,,,23,6,
2024,2,4,#CSO_Quest_Honor024_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,24,3,
2025,2,4,#CSO_Quest_Honor025_Name,,#CSO_Quest_Honor025_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor025_Cond1,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,25,4,
2026,2,4,#CSO_Quest_Honor026_Name,,#CSO_Quest_Honor026_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor026_Cond1,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,26,7,
2027,2,4,#CSO_Quest_Honor027_Name,,,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4008,,,,,,,27,7,
2028,2,4,#CSO_Quest_Honor028_Name,,#CSO_Quest_Honor028_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor028_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4009,,,,,,,28,7,
2029,2,4,#CSO_Quest_Honor029_Name,,#CSO_Quest_Honor029_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor029_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4008,,,,,,,29,7,
2030,2,4,#CSO_Quest_Honor030_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4009,,,,,,,30,7,
2031,2,4,#CSO_Quest_Honor031_Name,,#CSO_Quest_Honor031_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor031_Cond1,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,31,2,
2032,2,4,#CSO_Quest_Honor032_Name,,#CSO_Quest_Honor032_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor032_Cond1,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,32,2,
2033,2,4,#CSO_Quest_Honor033_Name,,,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4009,,,,,,,33,2,
2034,2,4,#CSO_Quest_Honor034_Name,,#CSO_Quest_Honor034_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor034_Cond1,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,34,4,
2035,2,4,#CSO_Quest_Honor035_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,7,1
2036,2,4,#CSO_Quest_Honor036_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,7,1
2037,2,4,#CSO_Quest_Honor037_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,7,1
2038,2,4,#CSO_Quest_Honor038_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,7,1
2039,2,4,#CSO_Quest_Honor039_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,7,1
2040,2,4,#CSO_Quest_Honor040_Name,,#CSO_Quest_Honor040_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/><raiseGoal value = '4'/></args>,<vars><currentGoal init='1'/></vars>,#CSO_Quest_Honor040_Cond1,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4008,,,,,,,40,1,
2041,2,4,#CSO_Quest_Honor041_Name,,#CSO_Quest_Honor041_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/><raiseGoal value = '4'/></args>,<vars><currentGoal init='1'/></vars>,#CSO_Quest_Honor041_Cond1,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,41,1,
2042,2,4,#CSO_Quest_Honor042_Name,,#CSO_Quest_Honor042_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/><raiseGoal value = '4'/></args>,<vars><currentGoal init='1'/></vars>,#CSO_Quest_Honor042_Cond1,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4008,,,,,,,42,1,
2043,2,4,#CSO_Quest_Honor043_Name,,#CSO_Quest_Honor043_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor043_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,43,1,
2044,2,4,#CSO_Quest_Honor044_Name,,#CSO_Quest_Honor044_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor044_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,44,1,
2045,2,4,#CSO_Quest_Honor045_Name,,#CSO_Quest_Honor045_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,<vars><m74 init='0' /><m75 init='0' /><m76 init='0' /><m77 init='0' /><m85 init='0' /><m98 init='0' /></vars>,#CSO_Quest_Honor045_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4005,,,,,,,45,1,
2046,2,4,#CSO_Quest_Honor046_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/><goal value='1000000' testvalue='50'/></args>,<vars><kill init='0' /></vars>,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4009,,,,,,,46,1,
2047,2,4,#CSO_Quest_Honor047_Name,,#CSO_Quest_Honor047_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor047_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,47,7,
2048,2,4,#CSO_Quest_Honor048_Name,,#CSO_Quest_Honor048_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor048_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,48,7,
2049,2,4,#CSO_Quest_Honor049_Name,,#CSO_Quest_Honor049_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor049_Cond1,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4009,,,,,,,49,5,
2050,2,4,#CSO_Quest_Honor050_Name,,#CSO_Quest_Honor050_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor050_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,50,5,
2051,2,4,#CSO_Quest_Honor051_Name,,#CSO_Quest_Honor051_Desc,,0,,,<args><clanMemberLimit value='4' testvalue='1'/></args>,<vars><dt_sec /></vars>,#CSO_Quest_Honor051_Cond1,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,51,5,
2052,2,4,#CSO_Quest_Honor052_Name,,#CSO_Quest_Honor052_Desc,,0,,,<args><clanMemberLimit value='4' testvalue='1'/></args>,<vars><dt_sec /></vars>,#CSO_Quest_Honor052_Cond1,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,52,5,
2053,2,4,#CSO_Quest_Honor053_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,5,1
2054,2,4,#CSO_Quest_Honor054_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,7,1
2055,2,4,#CSO_Quest_Honor055_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,7,1
2056,2,4,#CSO_Quest_Honor056_Name,,#CSO_Quest_Honor056_Desc,,0,,,<args><memberLimit value='8' testvalue='1'/></args>,<vars><kill init='0' /><flag init='0' /></vars>,#CSO_Quest_Honor056_Cond1,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,56,4,
2057,2,4,#CSO_Quest_Honor057_Name,,#CSO_Quest_Honor057_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor057_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,57,1,
2058,2,4,#CSO_Quest_Honor058_Name,,#CSO_Quest_Honor058_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor058_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,58,1,
2059,2,4,#CSO_Quest_Honor059_Name,,#CSO_Quest_Honor059_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor059_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,59,1,
2060,2,4,#CSO_Quest_Honor060_Name,,#CSO_Quest_Honor060_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor060_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,60,1,
2061,2,4,#CSO_Quest_Honor061_Name,,#CSO_Quest_Honor061_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor061_Cond1,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,61,2,
2062,2,4,#CSO_Quest_Honor062_Name,,#CSO_Quest_Honor062_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor062_Cond1,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,62,6,
2063,2,4,#CSO_Quest_Honor063_Name,,#CSO_Quest_Honor063_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor063_Cond1,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,63,3,
2064,2,4,#CSO_Quest_Honor064_Name,,#CSO_Quest_Honor064_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor064_Cond1,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,64,2,
2065,2,4,#CSO_Quest_Honor065_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,7,1
2066,2,4,#CSO_Quest_Honor066_Name,,#CSO_Quest_Honor066_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor066_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,66,6,
2067,2,4,#CSO_Quest_Honor067_Name,,#CSO_Quest_Honor067_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor067_Cond1,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4008,,,,,,,67,6,
2068,2,4,#CSO_Quest_Honor068_Name,,#CSO_Quest_Honor068_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor068_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,68,1,
2069,2,4,#CSO_Quest_Honor069_Name,,#CSO_Quest_Honor069_Desc,,0,,,<args><memberLimit value='8' testvalue='1'/></args>,,#CSO_Quest_Honor069_Cond1,,1000,#CSO_Quest_Honor069_Cond2,,500,#CSO_Quest_Honor069_Cond3,,400,#CSO_Quest_Honor069_Cond4,,300,#CSO_Quest_Honor069_Cond5,,200,#CSO_Quest_Honor069_Cond6,,100,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,69,4,
2070,2,4,#CSO_Quest_Honor070_Name,,#CSO_Quest_Honor070_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor070_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,70,1,
2071,2,4,#CSO_Quest_Honor071_Name,,#CSO_Quest_Honor071_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor071_Cond1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,71,6,
2072,2,4,#CSO_Quest_Honor072_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,72,6,
2073,2,4,#CSO_Quest_Honor073_Name,,#CSO_Quest_Honor073_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor073_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,73,1,
2074,2,4,#CSO_Quest_Honor074_Name,,#CSO_Quest_Honor074_Desc,,0,,,<args><memberLimit value='8' testvalue='1'/></args>,,#CSO_Quest_Honor074_Cond1,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,74,3,
2075,2,4,#CSO_Quest_Honor075_Name,,#CSO_Quest_Honor075_Desc,,0,,,<args><memberLimit value='6' testvalue='1'/></args>,,#CSO_Quest_Honor075_Cond1,,150,#CSO_Quest_Honor075_Cond2,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,75,6,
2076,2,4,#CSO_Quest_Honor076_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,1,1
2077,2,4,#CSO_Quest_Honor077_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,5,1
2078,2,4,#CSO_Quest_Honor078_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,5,1
2080,2,4,#CSO_Quest_Honor080_Name,,#CSO_Quest_Honor080_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor080_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,80,1,
2081,2,4,#CSO_Quest_Honor081_Name,,#CSO_Quest_Honor081_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor081_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,81,1,
2082,2,4,#CSO_Quest_Honor082_Name,,#CSO_Quest_Honor082_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor082_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,82,1,
2083,2,4,#CSO_Quest_Honor083_Name,,#CSO_Quest_Honor083_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor083_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,83,1,
2084,2,4,#CSO_Quest_Honor084_Name,,#CSO_Quest_Honor084_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor084_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,84,1,
2085,2,4,#CSO_Quest_Honor085_Name,,#CSO_Quest_Honor085_Desc,,0,,,<args><memberLimit value='6' testvalue='1'/></args>,,#CSO_Quest_Honor085_Cond1,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,85,4,
2086,2,4,#CSO_Quest_Honor086_Name,,#CSO_Quest_Honor086_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor086_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,86,3,
2087,2,4,#CSO_Quest_Honor087_Name,,#CSO_Quest_Honor087_Desc,,0,,,<args><memberLimit value='6' testvalue='1'/></args>,,#CSO_Quest_Honor087_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4007,,,,,,,87,3,
2088,2,4,#CSO_Quest_Honor088_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,7,1
2089,2,4,#CSO_Quest_Honor089_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,7,1
2090,2,4,#CSO_Quest_Honor090_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,7,1
2091,2,4,#CSO_Quest_Honor091_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,7,1
2092,2,4,#CSO_Quest_Honor092_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,7,1
2096,2,4,#CSO_Quest_Honor096_Name,,#CSO_Quest_Honor096_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor096_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,96,1,
2097,2,4,#CSO_Quest_Honor097_Name,,#CSO_Quest_Honor097_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor097_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,97,1,
2098,2,4,#CSO_Quest_Honor098_Name,,#CSO_Quest_Honor098_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor098_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,98,1,
2099,2,4,#CSO_Quest_Honor099_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,7,1
2100,2,4,#CSO_Quest_Honor100_Name,,,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,7,1
2101,2,4,#CSO_Quest_Honor101_Name,,#CSO_Quest_Honor101_Desc,,0,,,<args><memberLimit value='1' testvalue='1'/></args>,,#CSO_Quest_Honor101_Cond1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4006,,,,,,,101,6,
