#id,sprayname," decalname (애니메이션 = sprayp) ,( hhQ_ 안붙여도 됨)", framecount, imgfilename,itemID(-1은 무조건 소유),"type (벽에만 사용 0, 바닥+허공 동시 표시 1, 랜덤스프레이 2)",,
304,#CSO_Spray_y25s2sprayb,HHQ_y25s2b,1,logos/y25s2sprayb,9278,,,
305,#CSO_Spray_y25s2sprayp,HHQ_y25s2p,1,logos/y25s2sprayp,9279,1,,
306,#CSO_Spray_Event250429_spray,HHQ_Event250429,1,logos/Event250429_spray,9295,,,
307,#CSO_Spray_buffclass25s2trspray,HHQ_y25s2tr,1,logos/buffclass25s2trspray,9293,,,
308,#CSO_Spray_buffclass25s2ctspray,HHQ_y25s2ct,1,logos/buffclass25s2ctspray,9294,,,
309,#CSO_Spray_25honoralin01_spray,HHQ_25alin01,,logos/25honoralin01_spray,9385,,,
310,#CSO_Spray_25honoralin02_spray,HHQ_25alin02,,logos/25honoralin02_spray,9386,,,
311,#CSO_Spray_25honoralin03_spray,HHQ_25alin03,,logos/25honoralin03_spray,9387,,,
312,#CSO_Spray_25honoralin04_spray,HHQ_25alin04,,logos/25honoralin04_spray,9388,,,
313,#CSO_Spray_match25spray,match25spray,,logos/match25spray,9389,,,
314,#CSO_Spray_goodshotspray,HHQ_goodshot,1,logos/goodshotspray,9392,,,
316,#CSO_Spray_Event250710_spray,HHQ_Event250710,,logos/Event250710_spray,9406,,,
317,#CSO_Spray_ES_spotlight_spray,HHQ_ESspotlight,,logos/ES_spotlight_spray,9409,,,
318,#CSO_Spray_KR250710_spray,HHQ_KR250710,,logos/KR250710_spray,9410,,,
319,#CSO_Spray_y25s3spraya,HHQ_y25s3a,1,logos/y25s3spraya,9419,,,
320,#CSO_Spray_y25s3sprayb,HHQ_y25s3b,1,logos/y25s3sprayb,9420,,,
321,#CSO_Spray_y25s3sprayp,HHQ_y25s3p,1,logos/y25s3sprayp,9421,1,,
322,#CSO_Spray_buffclass25s3trspray,HHQ_y25s3tr,1,logos/buffclass25s3trspray,9398,,,
323,#CSO_Spray_buffclass25s3ctspray,HHQ_y25s3ct,1,logos/buffclass25s3ctspray,9399,,,
324,#CSO_Spray_emoticon_heart_bear_spray,HHQ_heartbear,,logos/emoticon_heart_bear_spray,9460,,,
326,#CSO_Spray_bfmarkspray,HHQ_bfmark,1,logos/bfmarkspray,9463,,,
327,#CSO_Spray_Request_01_spray,HHQ_Request_01,,logos/Request_01_spray,9429,,,
328,#CSO_Spray_Request_02_spray,HHQ_Request_02,,logos/Request_02_spray,9430,,,
329,#CSO_Spray_Request_03_spray,HHQ_Request_03,,logos/Request_03_spray,9431,,,
330,#CSO_Spray_Request_04_spray,HHQ_Request_04,,logos/Request_04_spray,9432,,,
331,#CSO_Spray_Request_05_spray,HHQ_Request_05,,logos/Request_05_spray,9433,,,
332,#CSO_Spray_Request_06_spray,HHQ_Request_06,,logos/Request_06_spray,9434,,,
333,#CSO_Spray_Request_07_spray,HHQ_Request_07,,logos/Request_07_spray,9435,,,
334,#CSO_Spray_Request_08_spray,HHQ_Request_08,,logos/Request_08_spray,9436,,,
335,#CSO_Spray_SurvMarkSpray,HHQ_SurvMark,,logos/SurvMarkSpray,9491,,,
336,#CSO_Spray_muine_a_spray,HHQ_muine_a,1,logos/muine_a_spray,9507,
337,#CSO_Spray_muine_b_spray,HHQ_muine_b,1,logos/muine_b_spray,9508,
338,#CSO_Spray_muine_01_spray,HHQ_muine_01,1,logos/muine_01_spray,9509,
339,#CSO_Spray_muine_02_spray,HHQ_muine_02,1,logos/muine_02_spray,9510,
340,#CSO_Spray_muine_03_spray,HHQ_muine_03,1,logos/muine_03_spray,9511,
341,#CSO_Spray_muine_04_spray,HHQ_muine_04,1,logos/muine_04_spray,9512,
342,#CSO_Spray_muine_05_spray,HHQ_muine_05,1,logos/muine_05_spray,9513,
343,#CSO_Spray_muine_06_spray,HHQ_muine_06,1,logos/muine_06_spray,9514,
344,#CSO_Spray_muine_07_spray,HHQ_muine_07,1,logos/muine_07_spray,9515,
345,#CSO_Spray_muine_08_spray,HHQ_muine_08,1,logos/muine_08_spray,9516,
346,#CSO_Spray_muine_09_spray,HHQ_muine_09,1,logos/muine_09_spray,9517,
347,#CSO_Spray_muine_10_spray,HHQ_muine_10,1,logos/muine_10_spray,9518,
348,#CSO_Spray_muine_11_spray,HHQ_muine_11,1,logos/muine_11_spray,9519,
349,#CSO_Spray_muine_12_spray,HHQ_muine_12,1,logos/muine_12_spray,9520,
350,#CSO_Spray_soulreaperex_spray,HHQ_soulreaper,1,logos/soulreaperex_spray,9527,
356,#CSO_Spray_buffclass25s4trspray,HHQ_y25s4tr,1,logos/buffclass25s4trspray,9540,
357,#CSO_Spray_buffclass25s4ctspray,HHQ_y25s4ct,1,logos/buffclass25s4ctspray,9541,
358,#CSO_Spray_sweetkillerspray,HHQ_sweetkiller,1,logos/sweetkillerspray,9546,
359,#CSO_Spray_y25s4spraya,HHQ_y25s4a,1,logos/y25s4spraya,9578,
360,#CSO_Spray_y25s4sprayb,HHQ_y25s4b,1,logos/y25s4sprayb,9579,
361,#CSO_Spray_y25s4sprayp,HHQ_y25s4p,1,logos/y25s4sprayp,9580,1
362,#CSO_Spray_muine_13_spray,HHQ_muine_13,1,logos/muine_13_spray,9589,
363,#CSO_Spray_muine_14_spray,HHQ_muine_14,1,logos/muine_14_spray,9590,
364,#CSO_Spray_rockspray2,HHQ_rock2,1,logos/rockspray2,9595,
365,#CSO_Spray_paperspray2,HHQ_paper2,1,logos/paperspray2,9596,
366,#CSO_Spray_scissorsspray2,HHQ_scissors2,1,logos/scissorsspray2,9597,
367,#CSO_Spray_chn17thspraya,HHQ_chn17tha,1,logos/chn17thspraya,9601,
368,#CSO_Spray_chn17thsprayb,HHQ_chn17thb,1,logos/chn17thsprayb,9602,
369,#CSO_Spray_2025lucky_spray,HHQ_2025lucky,1,logos/2025lucky_spray,9627,
370,#CSO_Spray_domshispray,HHQ_domshi,1,logos/domshispray,9673,
371,#CSO_Spray_Newyear2026_spray,HHQ_Newyear2026,1,logos/Newyear2026_spray,9675,
372,#CSO_Spray_spwinspray,HHQ_spwin,1,logos/spwinspray,9680,
373,#CSO_Spray_spseaspray,HHQ_spsea,1,logos/spseaspray,9681,
374,#CSO_Spray_spcliffspray,HHQ_spcliff,1,logos/spcliffspray,9682,
378,#CSO_Spray_y26s1spraya,HHQ_y26s1a,1,logos/y26s1spraya,9656,
379,#CSO_Spray_y26s1sprayb,HHQ_y26s1b,1,logos/y26s1sprayb,9657,
380,#CSO_Spray_y26s1sprayp,HHQ_y26s1p,1,logos/y26s1sprayp,9658,1
383,#CSO_Spray_muine_15_spray,HHQ_muine_15,1,logos/muine_15_spray,9694,
384,#CSO_Spray_muine_16_spray,HHQ_muine_16,1,logos/muine_16_spray,9695,
385,#CSO_Spray_muine_17_spray,HHQ_muine_17,1,logos/muine_17_spray,9696,
386,#CSO_Spray_muine_18_spray,HHQ_muine_18,1,logos/muine_18_spray,9697,
387,#CSO_Spray_muine_19_spray,HHQ_muine_19,1,logos/muine_19_spray,9698,
388,#CSO_Spray_muine_20_spray,HHQ_muine_20,1,logos/muine_20_spray,9699,
389,#CSO_Spray_muine_21_spray,HHQ_muine_21,1,logos/muine_21_spray,9700,
390,#CSO_Spray_muine_22_spray,HHQ_muine_22,1,logos/muine_22_spray,9701,
391,#CSO_Spray_muine_23_spray,HHQ_muine_23,1,logos/muine_23_spray,9702,
392,#CSO_Spray_muine_24_spray,HHQ_muine_24,1,logos/muine_24_spray,9703,
393,#CSO_Spray_muine_25_spray,HHQ_muine_25,1,logos/muine_25_spray,9704,
394,#CSO_Spray_muine_26_spray,HHQ_muine_26,1,logos/muine_26_spray,9705,
395,#CSO_Spray_buffclass26s1trspray,HHQ_y26s1tr,1,logos/buffclass26s1trspray,9713,
396,#CSO_Spray_dimensioncrackspray,HHQ_dimecrack,1,logos/dimensioncrackspray,9877,
397,#CSO_Spray_divinespearexspray,HHQ_divineex,1,logos/divinespearexspray,9880,
398,#CSO_Spray_buffclass26s2ctspray,HHQ_y26s2ct,1,logos/buffclass26s2ctspray,9891,
399,#CSO_Spray_y26danospray,HHQ_dano,1,logos/y26danospray,9906,
400,#CSO_Spray_buffclasspass26s2trspray,HHQ_p26s2class,1,logos/pass26s2sclass,9909,
401,#CSO_Spray_pass26s2sprayp,HHQ_pass26s2p,1,logos/pass26s2sprayp,9917,1
402,#CSO_Spray_pass26s2spraya,HHQ_pass26s2a,1,logos/pass26s2spraya,9915,
403,#CSO_Spray_pass26s2sprayb,HHQ_pass26s2b,1,logos/pass26s2sprayb,9916,
